 energy time folder timeStep
49 0.0183848 3920.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
50 0.017953099999999996 4000.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
51 0.01766 4080.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
52 0.0177942 4160.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
53 0.0176236 4240.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
54 0.0172798 4320.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
55 0.0178601 4400.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
56 0.0180507 4480.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
57 0.018056799999999998 4560.000000000001 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
58 0.0179787 4640.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
59 0.0180784 4720.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
60 0.0176881 4800.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
61 0.0178709 4880.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
62 0.017755 4960.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
63 0.0172885 5040.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
64 0.0181138 5120.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
65 0.017722799999999997 5200.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
66 0.018006099999999997 5280.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
67 0.018075400000000002 5360.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
68 0.0181025 5440.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
69 0.018182499999999997 5520.000000000001 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
70 0.0180592 5600.000000000001 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
71 0.0180179 5680.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
72 0.0179726 5760.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
73 0.018184099999999998 5840.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
74 0.018086599999999998 5920.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
75 0.018056700000000002 6000.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
76 0.018013 6080.0 /home/luca/network/hpc/fermiImpurity/nR1e-6/aNeg/dmc-unitary/13dce9ac 0.08
